"","care_group","CH","ADC","ECH","MHH","ownership"
"1036","Health and Home  Essex  Ltd","   4    ","       ","       ","       ","P"
"1037","Healthcare Homes Group Ltd","   35   ","   1    ","       ","       ","P"
"1038","Healthcare Management Trust","   3    ","       ","       ","       ","V"
"1039","Healycare Ltd","   4    ","       ","       ","       ","P"
"1040","Heart of England Mencap","   5    ","       ","       ","       ","V"
"1041","Heart of England Properties Ltd","   2    ","       ","       ","       ","P"
"1042","Allen Heath","   3    ","       ","       ","       ","P"
"1043","Heathcotes Group","   28   ","       ","       ","       ","P"
"1044","Heatherwood Nursing Home Ltd","   2    ","       ","       ","       ","P"
"1045","Heathfield Care Homes Ltd","   3    ","       ","       ","       ","P"
"1046","Heathfield House Nursing Homes Ltd","   6    ","       ","       ","       ","P"
"1047","Hebron Hall Christian Centre","   1    ","       ","   1    ","       ","V"
"1048","Helen McArdle Care Ltd","   19   ","   1    ","   1    ","       ","P"
"1049","Helene Care Ltd","   3    ","       ","       ","       ","P"
"1050","Helm Housing Association","       ","       ","   3    ","       ","V"
"1051","Helme Hall Ltd","   2    ","       ","       ","       ","P"
"1052","The Henry Lonsdale Trust","   2    ","       ","       ","       ","V"
"1053","Henshaws","   11   ","       ","       ","       ","V"
"1054","Herefordshire Care Homes","   5    ","       ","       ","       ","P"
"1055","Hereward Care Services Ltd","   2    ","       ","       ","       ","P"
"1056","Heritage Care","   14   ","       ","   9    ","       ","V"
"1057","Heritage Care Homes Ltd","   3    ","       ","       ","       ","P"
"1058","Heritage Manor Ltd","   6    ","       ","   2    ","       ","P"
"1059","Hermes Care","   8    ","       ","       ","       ","P"
"1060","Hertfordshire County Council","   6    ","   3    ","       ","       ","L"
"1061","Hertfordshire PCT","   2    ","       ","       ","       ","V"
"1062","Hesley Group","   5    ","       ","       ","       ","P"
"1063","Hessle Properties Ltd","   2    ","       ","       ","       ","P"
"1064","Hestia Care Ltd","   4    ","       ","       ","       ","P"
"1065","Hestia Housing   Support","   3    ","       ","       ","       ","V"
"1066","Heston Court Ltd","   2    ","       ","       ","       ","P"
"1067","Hexon Ltd","   5    ","       ","       ","       ","P"
"1068","Hicare Ltd","   2    ","       ","       ","       ","P"
"1069","High View Care Services Ltd","   3    ","       ","       ","       ","P"
"1070","Highland Council","   1    ","       ","   4    ","       ","L"
"1071","Highlands Care Home Ltd","   2    ","       ","       ","       ","P"
"1072","Highlea Homes Ltd","       ","       ","   3    ","       ","P"
"1073","Hightown Housing Association Ltd","   10   ","       ","   1    ","       ","V"
"1074","Hilbre Care Ltd","   4    ","       ","       ","       ","P"
"1075","Hill Care","   18   ","       ","       ","       ","P"
"1076","Hill House Nursing Home Ltd","   2    ","       ","       ","       ","P"
"1077","Hillcrest   Lyndale Care and Support Services Ltd","   4    ","       ","       ","       ","P"
"1078","Hillcroft Nursing Homes","   5    ","       ","       ","       ","P"
"1079","Hillgay Ltd","   1    ","   1    ","       ","       ","P"
"1080","Hillgreen Care","   7    ","       ","       ","       ","P"
"1081","London Borough of Hillingdon","   4    ","   3    ","   1    ","       ","L"
"1082","Hoffmann Foundation for Autism","   4    ","       ","   2    ","       ","V"
"1083","Holdcare Ltd","   3    ","       ","       ","       ","P"
"1084","Holden Grange Care Group","   3    ","       ","       ","       ","P"
"1085","Holistic Care Provision Ltd","   2    ","       ","       ","       ","P"
"1086","Hollybank Trust","   8    ","       ","       ","       ","V"
"1087","Hollyberry Care Ltd","   2    ","       ","       ","       ","P"
"1088","Hollygate Care Group","   3    ","       ","       ","       ","P"
"1089","Hollyman Care Homes","   2    ","       ","       ","       ","P"
"1090","Hollywood Rest Home","   2    ","       ","       ","       ","P"
"1091","The Holmes Care  Group  Ltd","   13   ","   1    ","       ","       ","P"
"1092","Holmleigh Care Homes Ltd","   11   ","   1    ","   18   ","       ","P"
"1093","Holsworthy Health Care Ltd","   2    ","       ","       ","       ","P"
"1094","Holt Green Residential Homes Ltd","   2    ","       ","       ","       ","P"
"1095","Holy Cross Care Homes Ltd","   2    ","       ","       ","       ","P"
"1096","Home From Home Care Ltd","   10   ","       ","       ","       ","P"
"1097","Home Group","       ","       ","   2    ","       ","P"
"1098","Home Trust Care Ltd","   3    ","       ","       ","       ","P"
"1099","Homecroft  Four Oaks  Ltd","   2    ","       ","       ","       ","P"
"1100","Homefield College Ltd","   5    ","       ","       ","       ","V"
"1101","Homes Caring For Autism Ltd","   8    ","       ","       ","       ","P"
"1102","Homes in Sedgemoor","       ","       ","   3    ","       ","P"
"1103","Homes of Excellence","   2    ","       ","       ","       ","P"
"1104","Homes Together Ltd","   3    ","       ","       ","       ","P"
"1105","Homestead Homes Ltd","   2    ","       ","       ","       ","P"
"1106","Homewards Care Ltd","   3    ","       ","       ","       ","P"
"1107","Horizon Care Homes Ltd","   3    ","       ","       ","       ","P"
"1108","Horizon Healthcare Homes Ltd","   5    ","       ","       ","       ","P"
"1109","Hornby Healthcare Ltd","   3    ","       ","       ","       ","P"
"1110","Horton Establishments Ltd","   2    ","       ","       ","       ","P"
"1111","London Borough of Hounslow","   2    ","   1    ","       ","       ","L"
"1112","House Martins Care Ltd","   2    ","       ","       ","       ","P"
"1113","The House of Light Trust","   3    ","       ","       ","       ","V"
"1114","Housing   Care","   1    ","   1    ","   123   ","       ","V"
"1115","Housing Solutions","       ","       ","   2    ","       ","V"
"1116","Hudson Healthcare","   4    ","       ","       ","       ","P"
"1117","Mr   Mrs P A Hughes","   2    ","       ","       ","       ","P"
"1118","Sunny Humphreys","   4    ","   1    ","       ","       ","P"
"1119","Huntercombe Group","   27   ","       ","       ","   13   ","P"
"1120","N Hussain","   3    ","       ","       ","       ","P"
"1121","Hutchinson Homes Ltd","   6    ","       ","       ","       ","P"
"1122","The Hyde Group","       ","       ","   2    ","       ","P"
"1123","Hyndburn Homes","       ","       ","   3    ","       ","P"
"1124","Hythe Care Homes Ltd","   3    ","       ","       ","       ","P"
"1125","iMap Centre Ltd","   4    ","       ","       ","       ","P"
"1126","IOTA Care Ltd","   2    ","       ","       ","       ","P"
"1127","Iceni Care Ltd","   4    ","       ","       ","       ","P"
"1128","Ideal Carehomes","   15   ","       ","       ","       ","P"
"1129","Idelo Ltd","   2    ","       ","       ","       ","P"
"1130","Ifield Park Care Home Ltd","   1    ","   1    ","       ","       ","V"
"1131","Impact Housing Association","       ","       ","   2    ","       ","P"
"1132","Imperial Care Homes Ltd","   3    ","       ","       ","       ","P"
"1133","Improving Prospects Ltd","   2    ","       ","       ","       ","P"
"1134","In Chorus Ltd","   3    ","       ","       ","       ","P"
"1135","Inchmarlo Retirement Community Village","   1    ","       ","   1    ","       ","P"
"1136","Inclusive Support Ltd","   3    ","       ","       ","       ","P"
"1137","Independence Homes Ltd","   6    ","       ","       ","       ","P"
"1138","Independence Matters C I C","   4    ","   1    ","       ","       ","V"
"1139","Independence with Care Ltd","   2    ","       ","       ","       ","P"
"1140","Independence Development Ltd","   2    ","       ","       ","       ","P"
"1141","Independent Options  Stockport  Ltd","   2    ","       ","       ","       ","V"
"1142","Individual Care Services","   4    ","       ","       ","       ","V"
"1143","inmind Healthcare Group","       ","       ","       ","   5    ","P"
"1144","Innova House Healthcare Ltd","   5    ","       ","       ","       ","P"
"1145","Innovation Care Ltd","   2    ","       ","       ","       ","P"
"1146","Innovations Wiltshire Ltd","   6    ","       ","       ","       ","P"
"1147","Inshore Support Ltd","   10   ","       ","       ","       ","P"
"1148","Insight Specialist Behavioural Service Ltd","   5    ","       ","       ","       ","P"
"1149","Inspiration Care Ltd","   2    ","       ","       ","       ","P"
"1150","Inspiration Lifestyle Services Ltd","   1    ","   1    ","       ","       ","P"
"1151","Inspire  Partnership Through Life  Ltd","   14   ","       ","       ","       ","V"
"1152","Institute of Our Lady of Mercy","   4    ","       ","       ","       ","V"
"1153","Integra Community Living Options Ltd","   6    ","       ","       ","       ","P"
"1154","Integrated Care Services","   2    ","       ","       ","       ","P"
"1155","Interact Care Ltd","   3    ","       ","       ","       ","P"
"1156","Interhaze Ltd","   7    ","       ","       ","       ","P"
"1157","Inverclyde Council","   1    ","   1    ","       ","       ","L"
"1158","Pat Ireland","   2    ","       ","       ","       ","P"
"1159","Island Healthcare Ltd","   4    ","       ","       ","       ","P"
"1160","Isle of Anglesey County Council","   6    ","       ","       ","       ","L"
"1161","Isle of Man Department of Health   Social Care","   26   ","       ","       ","       ","L"
"1162","Isle of Wight Care Ltd","   2    ","       ","       ","       ","P"
"1163","Isle of Wight Council","   11   ","   6    ","       ","       ","L"
"1164","London Borough of Islington","   3    ","       ","       ","       ","L"
"1165","Ivy Cottage  Ackton  Ltd","   4    ","       ","       ","       ","P"
"1166","J   S Health Care Ltd","   2    ","       ","       ","       ","P"
"1167","JEM Care Ltd","   3    ","       ","       ","       ","P"
"1168","J J S  Chippenham  Ltd","   2    ","       ","       ","       ","P"
"1169","JSAI Country Home Ltd","   4    ","       ","       ","       ","P"
"1170","JS Care Ltd","   3    ","       ","       ","       ","P"
"1171","J T Care Homes Ltd","   3    ","       ","       ","       ","P"
"1172","Graham Robert Jack","   2    ","       ","       ","       ","P"
"1173","Jaffray Care Society","   4    ","       ","       ","       ","V"
"1174","Jah Jireh Charity Homes","   3    ","       ","       ","       ","V"
"1175","M Jalal","   2    ","       ","       ","       ","P"
"1176","Jamesons Residential Care Home Ltd","   6    ","       ","       ","       ","P"
"1177","Janes Care Homes","   4    ","       ","       ","       ","P"
"1178","Janith Homes Ltd","   3    ","       ","       ","       ","P"
"1179","Jasmine Care Holdings Ltd","   3    ","       ","       ","       ","P"
"1180","Jasmine Healthcare Ltd","   5    ","       ","       ","       ","P"
"1181","Jawa Group","   3    ","       ","       ","       ","P"
"1182","Mr   Mrs M E Jay","   2    ","       ","       ","       ","P"
"1183","Jeesal Akman Care Corporation Ltd","   19   ","       ","       ","       ","P"
"1184","Mr   Mrs Y Jeetoo","   3    ","       ","       ","       ","P"
"1185","Mr   Mrs R Jeffries","   2    ","       ","       ","       ","P"
"1186","Jemini Response Ltd","   3    ","       ","       ","       ","P"
"1187","Jewish Care","   12   ","       ","       ","       ","V"
"1188","Jewish Community Housing Association Ltd","       ","       ","   2    ","       ","V"
"1189","Jigsaw Care Ltd","   3    ","       ","       ","       ","P"
"1190","Mr   Mrs M Jingree","   2    ","       ","       ","       ","P"
"1191","Jiva Healthcare Ltd","   3    ","       ","       ","       ","P"
"1192","Navneet Johar","   6    ","       ","       ","       ","P"
"1193","John Edwards Care Homes Ltd","   2    ","       ","       ","       ","P"
"1194","John Munroe Hospital Group","       ","       ","       ","   2    ","P"
"1195","Johnnie Johnson Housing","       ","       ","   2    ","       ","V"
"1196","Bradley Jones and Russell Jones","   2    ","       ","       ","       ","P"
"1197","Yolanda Jones","   3    ","       ","       ","       ","P"
"1198","Jooma Care Homes Ltd","   2    ","       ","       ","       ","P"
"1199","Mr   Mrs M F Joomun","   2    ","       ","       ","       ","P"
